0,cl,cu
1.0,0.106,3.4619999999999997
0.9,0.021,3.418
0.8,-0.084,3.373
0.7,-0.196,3.3280000000000003
0.6,-0.314,3.284
0.5,-0.439,3.238
0.4,-0.5770000000000001,3.188
0.3,-0.7290000000000001,3.139
0.2,-0.887,3.089
0.1,-1.053,3.04
0.0,-1.239,2.986
-0.1,-1.4509999999999998,2.9139999999999997
-0.2,-1.692,2.841
-0.3,-1.97,2.7689999999999997
-0.4,-2.248,2.6830000000000003
-0.5,-2.5869999999999997,2.593
-0.6,-2.944,2.502
-0.7,-3.3739999999999997,2.375
-0.8,-3.84,2.246
-0.9,-4.369,2.062
-1.0,-4.94,1.8840000000000001
-1.1,-5.559,1.695
-1.2,-6.239,1.4369999999999998
-1.3,-6.961,1.133
-1.4,-7.761,0.795
-1.5,-8.493,0.429
-1.6,-9.368,0.035
-1.7,-10.236,-0.41200000000000003
-1.8,-11.184000000000001,-0.823
-1.9,-12.142000000000001,-1.348
-2.0,-13.158,-1.8869999999999998
-2.1,-14.190999999999999,-2.465
-2.2,-15.298,-3.075
-2.3,-16.427,-3.742
-2.4,-17.593,-4.42
-2.5,-18.817999999999998,-5.118
-2.6,-20.076,-5.9239999999999995
-2.7,-21.357,-6.69
-2.8,-22.695,-7.544
-2.9,-24.09,-8.42
-3.0,-25.471999999999998,-9.247
-3.1,-26.894000000000002,-10.253
-3.2,-28.342,-11.225999999999999
-3.3,-29.799,-12.225
-3.4,-31.331999999999997,-13.331
-3.5,-32.926,-14.434000000000001
-3.6,-34.559,-15.535
-3.7,-36.196999999999996,-16.676
-3.8,-37.834,-17.847
-3.9,-39.66,-19.035999999999998
-4.0,-41.379,-20.262999999999998
-4.1,-43.126999999999995,-21.64
-4.2,-44.92,-22.95
-4.3,-46.778999999999996,-24.250999999999998
-4.4,-48.674,-25.623
-4.5,-50.534,-27.018
-4.6,-52.521,-28.458000000000002
-4.7,-54.518,-29.985
-4.8,-56.448,-31.511
-4.9,-58.49100000000001,-33.053000000000004
-5.0,-60.606,-34.615
