0,cl,cu
1.0,-0.012,2.303
0.9,-0.122,2.2569999999999997
0.8,-0.231,2.202
0.7,-0.349,2.146
0.6,-0.469,2.089
0.5,-0.603,2.032
0.4,-0.742,1.9709999999999999
0.3,-0.898,1.9069999999999998
0.2,-1.063,1.8419999999999999
0.1,-1.242,1.778
0.0,-1.45,1.699
-0.1,-1.679,1.609
-0.2,-1.952,1.5190000000000001
-0.3,-2.21,1.411
-0.4,-2.516,1.298
-0.5,-2.877,1.169
-0.6,-3.238,1.026
-0.7,-3.698,0.8490000000000001
-0.8,-4.181,0.638
-0.9,-4.724,0.386
-1.0,-5.324,0.107
-1.1,-5.932,-0.20199999999999999
-1.2,-6.651,-0.57
-1.3,-7.385,-0.9740000000000001
-1.4,-8.152999999999999,-1.399
-1.5,-8.998,-1.854
-1.6,-9.845,-2.37
-1.7,-10.773,-2.917
-1.8,-11.714,-3.522
-1.9,-12.713,-4.121
-2.0,-13.738,-4.817
-2.1,-14.811,-5.487
-2.2,-15.9,-6.2170000000000005
-2.3,-17.07,-6.954
-2.4,-18.261,-7.821000000000001
-2.5,-19.503,-8.647
-2.6,-20.776,-9.548
-2.7,-22.076,-10.444
-2.8,-23.484,-11.405
-2.9,-24.872,-12.398
-3.0,-26.261999999999997,-13.444
-3.1,-27.72,-14.509
-3.2,-29.177,-15.595
-3.3,-30.682,-16.738
-3.4,-32.257,-17.914
-3.5,-33.875,-19.113
-3.6,-35.496,-20.337
-3.7,-37.166,-21.628
-3.8,-38.916,-22.945999999999998
-3.9,-40.681999999999995,-24.28
-4.0,-42.408,-25.639
-4.1,-44.208999999999996,-27.055999999999997
-4.2,-45.998000000000005,-28.503
-4.3,-47.91,-29.965999999999998
-4.4,-49.762,-31.506
-4.5,-51.751000000000005,-33.032
-4.6,-53.802,-34.58
-4.7,-55.655,-36.19
-4.8,-57.70399999999999,-37.853
-4.9,-59.81100000000001,-39.519
-5.0,-61.893,-41.218
