time	ret	ldp	lep	rf	yield
1926.9167	0.0260677949	-3.0015359552	-2.6659540002	0.0301896712	0.0144039669
1927.0000	-0.0007077908	-2.9927316212	-2.6464908958	0.0333090428	0.0122184275
1927.0833	0.0416101599	-3.0121671706	-2.6945934626	0.0335701634	0.0120721944
1927.1667	0.0037489489	-3.0300314293	-2.7025913303	0.0333090428	0.0118555091
1927.2500	0.0042423903	-3.0317613937	-2.7211919282	0.0342274985	0.0096177222
1927.3333	0.0525196759	-3.0665770036	-2.7736176440	0.0319055610	0.0127809566
1927.4167	-0.0231386140	-3.0263946338	-2.7657065684	0.0322929252	0.0124892176
1927.5000	0.0699673113	-3.0935346282	-2.8302034684	0.0282861481	0.0148516151
1927.5833	0.0223893147	-3.0967611851	-2.8752702930	0.0267977124	0.0177931709
1927.6667	0.0437093487	-3.1087216409	-2.9085489381	0.0274400544	0.0169595329
1927.7500	-0.0428519640	-3.0618138951	-2.8660849803	0.0297723717	0.0178796854
1927.8333	0.0649313899	-3.1251261192	-2.9331973451	0.0314114540	0.0125097331
1927.9167	0.0206032754	-3.1426170398	-2.9535974379	0.0336765264	0.0099575107
1928.0000	-0.0051667604	-3.1389975177	-2.9449655834	0.0335508235	0.0044614019
1928.0833	-0.0169551096	-3.1154570520	-2.9236541702	0.0333574037	0.0102766334
1928.1667	0.0830418761	-3.1994251354	-3.0230223497	0.0331155762	0.0105184608
1928.2500	0.0398024325	-3.2341113804	-3.0514323321	0.0336378502	0.0063382523
1928.3333	0.0164028533	-3.2195213139	-3.0605374969	0.0381528355	0.0057683516
1928.4167	-0.0502258408	-3.1858077151	-3.0157329403	0.0385089214	0.0061775962
1928.5000	0.0069770569	-3.1879486271	-3.0247122418	0.0435861707	0.0056944159
1928.5833	0.0625570130	-3.2424230664	-3.0927689069	0.0433946823	0.0019610194
1928.6667	0.0278581974	-3.2930868397	-3.1130182404	0.0470457865	-0.0019768231
1928.7500	0.0162142511	-3.3127554575	-3.1240060305	0.0460912874	-0.0008504174
1928.8333	0.1101107096	-3.3951302908	-3.2338661209	0.0419573498	0.0028247930
1928.9167	0.0003224291	-3.3940907742	-3.2333538440	0.0439403275	0.0024789327
1929.0000	0.0485427483	-3.4326531633	-3.2829827720	0.0467499892	-0.0004204813
1929.0833	-0.0045111335	-3.4081923416	-3.2712872311	0.0449733656	0.0005734493
1929.1667	-0.0109009691	-3.3890217201	-3.2631228582	0.0454321514	0.0004967805
1929.2500	0.0141109402	-3.4026807198	-3.2732714932	0.0486377716	-0.0044508692
1929.3333	-0.0618355263	-3.3336362714	-3.2237878557	0.0497896645	-0.0038607326
1929.4167	0.0892062080	-3.4169479634	-3.3245582203	0.0447821428	0.0018151426
1929.5000	0.0412583896	-3.4466404682	-3.3634827029	0.0473224209	-0.0032875176
1929.5833	0.0768124068	-3.5034977642	-3.4513129271	0.0449638054	0.0018243561
1929.6667	-0.0543035970	-3.4427834692	-3.3955766031	0.0465209247	0.0003626612
1929.7500	-0.2225409986	-3.2062369289	-3.1677550781	0.0383838246	0.0058296923
1929.8333	-0.1344173581	-3.0791732974	-3.0186180427	0.0314986671	0.0150031666
1929.9167	0.0140205602	-3.0804618802	-3.0381094783	0.0307910524	0.0173659309
1930.0000	0.0526457028	-3.1217880810	-3.0975927832	0.0374595478	0.0087039266
1930.0833	0.0230840055	-3.1475215167	-3.1175320226	0.0308880155	0.0149454008
1930.1667	0.0701742152	-3.2140343411	-3.1926596497	0.0271870598	0.0179774921
1930.2500	-0.0241418267	-3.1815291541	-3.1817233230	0.0298306100	0.0165608512
1930.3333	-0.0155060474	-3.1820683012	-3.1640360647	0.0210861170	0.0238872486
1930.4167	-0.1739463758	-2.9995789623	-2.9829153198	0.0172700112	0.0274165065
1930.5000	0.0381267650	-3.0403437568	-3.0172148359	0.0170537546	0.0308577703
1930.5833	0.0025317571	-3.0437493360	-3.0235396036	0.0172405244	0.0264892385
1930.6667	-0.1350126732	-2.9032004999	-2.8826499187	0.0140902643	0.0291607777
1930.7500	-0.0886267450	-2.8185480930	-2.7883462935	0.0168079516	0.0264430903
1930.8333	-0.0272765651	-2.8200570844	-2.7651929991	0.0245852898	0.0290185060
1930.9167	-0.0820976102	-2.7482269526	-2.6864469105	0.0159619279	0.0347630018
1931.0000	0.0596495840	-2.8223286577	-2.7319866864	0.0123237497	0.0309272923
1931.0833	0.1030530536	-2.9320890249	-2.8376186580	0.0088408047	0.0282316167
1931.1667	-0.0684083136	-2.8786141363	-2.7630286880	0.0128668657	0.0341328068
1931.2500	-0.1044806530	-2.7824770545	-2.6597405025	0.0080872102	0.0349722793
1931.3333	-0.1435807697	-2.6547415170	-2.5099986449	0.0078292711	0.0372076024
1931.4167	0.1285026101	-2.8051024770	-2.6378650209	0.0059323687	0.0363562875
1931.5000	-0.0665591790	-2.7559504748	-2.5577154841	0.0045496347	0.0381266396
1931.5833	0.0004614849	-2.7844241833	-2.5652498870	0.0050571908	0.0380022986
1931.6667	-0.3425838940	-2.4718290594	-2.2064635458	0.0138141438	0.0355553203
1931.7500	0.0767990392	-2.5503209940	-2.2849182859	0.0251120368	0.0285982198
1931.8333	-0.0953406235	-2.4725579936	-2.1791914044	0.0148689079	0.0331132345
1931.9167	-0.1461305257	-2.3634332198	-2.0205693876	0.0188806338	0.0242958056
1932.0000	-0.0130888470	-2.3754378269	-1.9928375372	0.0146225673	0.0343375980
