time	ret	ldp	lep	rf	yield
1926.75	0.0174559116	-2.9947737622	-2.6659540002	0.0301896712	0.0144039669
1927.00	0.0457451661	-3.0115816397	-2.7025913303	0.0333090428	0.0118555091
1927.25	0.0329666425	-3.0160615080	-2.7657065684	0.0322929252	0.0124892176
1927.50	0.1358605838	-3.0932649283	-2.9085489381	0.0274400544	0.0169595329
1927.75	0.0427715194	-3.1260071106	-2.9535974379	0.0336765264	0.0099575107
1928.00	0.0614384358	-3.1746093267	-3.0230223497	0.0331155762	0.0105184608
1928.25	0.0073603680	-3.1676254824	-3.0157329403	0.0385089214	0.0061775962
1928.50	0.0967614974	-3.2739521667	-3.1130182404	0.0470457865	-0.0019768231
1928.75	0.1194384904	-3.3761416287	-3.2333538440	0.0439403275	0.0024789327
1929.00	0.0330135919	-3.3834392218	-3.2631228582	0.0454321514	0.0004967805
1929.25	0.0419835497	-3.3924140191	-3.3245582203	0.0447821428	0.0018151426
1929.50	0.0630802073	-3.4290725389	-3.3955766031	0.0465209247	0.0003626612
1929.75	-0.3444024860	-3.0762975716	-3.0381094783	0.0307910524	0.0173659309
1930.00	0.1452287753	-3.1958870213	-3.1926596497	0.0271870598	0.0179774921
1930.25	-0.2161015688	-3.0165758913	-2.9829153198	0.0172700112	0.0274165065
1930.50	-0.0950854567	-2.9353422765	-2.8826499187	0.0140902643	0.0291607777
1930.75	-0.1980009355	-2.7900518278	-2.6864469105	0.0159619279	0.0347630018
1931.00	0.0932464264	-2.9419373500	-2.7630286880	0.0128668657	0.0341328068
1931.25	-0.1200524410	-2.8324690442	-2.6378650209	0.0059323687	0.0363562875
1931.50	-0.4068602532	-2.5169152640	-2.2064635458	0.0138141438	0.0355553203
1931.75	-0.1618189171	-2.4217897026	-2.0205693876	0.0188806338	0.0242958056
1932.00	-0.0742811472	-2.4490481705	-1.9225964251	0.0133702189	0.0372542729
1932.25	-0.4436232680	-2.1565156971	-1.4280265716	0.0035437136	0.0496519337
1932.50	0.5643952894	-2.7838295917	-2.0355965165	0.0020279423	0.0439009896
1932.75	-0.1538521987	-2.7258844022	-1.8821176386	0.0012691942	0.0436085645
1933.00	-0.1165238806	-2.6814490028	-1.7304968683	0.0151250377	0.0356489566
1933.25	0.6377375527	-3.3498907319	-2.3687795320	0.0025367797	0.0413566323
1933.50	-0.0987870371	-3.3093625115	-2.2776155457	0.0010094903	0.0414070800
1933.75	0.0286180664	-3.3252937157	-2.3176271705	0.0063199867	0.0392084644
1934.00	0.1008845902	-3.3837411255	-2.3915652285	0.0007597113	0.0397102212
1934.25	-0.0668476976	-3.3041882520	-2.3108855946	0.0007597113	0.0377876983
