time	ret	ldp	lep	rf	yield
1880	0.1642059430	-3.1118044448	-2.7140613828	.	.
1881	0.0291837626	-2.9328590317	-2.7324724675	.	.
1882	-0.0295962612	-2.9041650800	-2.7037785158	.	.
1883	-0.0843863032	-2.7838882775	-2.6297375977	.	.
1884	-0.1906620131	-2.6390573296	-2.4621266215	.	.
1885	0.1857095758	-3.0757749812	-2.6675359462	.	.
1886	0.0733664735	-3.2440117981	-2.7350060111	.	.
1887	-0.0797035020	-3.0483247237	-2.6508917873	.	.
1888	-0.0312587217	-3.1067290495	-2.6394465104	.	.
1889	0.0268870248	-3.1856010360	-2.6959061938	.	.
1890	-0.1518680536	-3.0401840361	-2.6078114751	.	.
1891	0.1472068022	-3.2023768255	-2.7999466211	.	.
1892	0.0205117894	-3.1336809788	-2.8366675789	.	.
1893	-0.2359948044	-2.8701690506	-2.6582886915	.	.
1894	-0.0083083508	-3.0192627710	-2.6827905343	.	.
1895	0.0108836542	-3.1239866091	-2.6942568790	.	.
1896	-0.0428589987	-3.1546335561	-2.7128008039	.	.
1897	0.1195920271	-3.2729430461	-2.8491287994	.	.
1898	0.1683349543	-3.3410934576	-2.9904365860	.	.
1899	0.0593142948	-3.3557350076	-2.9924155209	.	.
1900	0.1294292237	-3.1311369106	-3.0634782621	.	.
1901	0.1433191682	-3.2126062119	-3.1608442773	.	.
1902	0.0041264258	-3.1943347160	-3.0990245361	.	.
1903	-0.2049434728	-2.9323359570	-2.8241223724	.	.
1904	0.2226351159	-3.2813961818	-2.9705963003	.	.
1905	0.1369881397	-3.3641561100	-3.0212113589	.	.
1906	0.0155688811	-3.2027464429	-2.9403821785	.	.
1907	-0.4009837984	-2.7034943846	-2.4713009977	.	.
1908	0.3148182266	-3.1168430993	-2.7487337777	.	.
1909	0.1345426699	-3.1531244473	-2.8330191881	.	.
1910	-0.1295237700	-2.9577873420	-2.6632141742	.	.
1911	0.0176569862	-2.9643952955	-2.6556598139	.	.
1912	0.0331610606	-2.9725489381	-2.6739887475	.	.
1913	-0.1508602964	-2.8183982583	-2.5045003437	.	.
1914	-0.0817374470	-2.8622008809	-2.4102157572	.	.
1915	0.2640467265	-3.0931543866	-2.6333772891	.	.
1916	0.0549378768	-2.8622008809	-2.5594542790	.	.
1917	-0.3132850328	-2.2879862936	-2.1153735509	.	.
1918	0.1616304307	-2.6289816776	-2.2165235340	.	.
1919	0.1259079800	-2.8231742190	-2.3184046319	.	.
1920	-0.2686935320	-2.5917366734	-2.0405597541	.	.
1921	0.0642628332	-2.7657720633	-2.1458970838	.	.
1922	0.1954424796	-2.8458209609	-2.3303004928	.	.
1923	-0.0156226234	-2.7808095554	-2.2635893264	.	.
1924	0.1851053708	-2.9162954429	-2.3910291350	.	.
1925	0.2117160807	-3.0333491371	-2.5560802969	.	.
1926	0.0939163913	-2.9730123516	-2.6659540002	0.0301896712	0.0144039669
1927	0.2815826077	-3.1326669593	-2.9535974379	0.0336765264	0.0099575107
1928	0.3120732652	-3.3550507790	-3.2333538440	0.0439403275	0.0024789327
1929	-0.1306248719	-3.0961838529	-3.0381094783	0.0307910524	0.0173659309
1930	-0.3004491943	-2.7506665033	-2.6864469105	0.0159619279	0.0347630018
1931	-0.5465932673	-2.2931997245	-2.0205693876	0.0188806338	0.0242958056
1932	-0.1034043340	-2.6231021485	-1.8821176386	0.0012691942	0.0436085645
1933	0.4206546996	-3.1335951807	-2.3176271705	0.0063199867	0.0392084644
1934	-0.0187199087	-3.0493994148	-2.3011329350	0.0010094903	0.0366324079
1935	0.3785371839	-3.3966165352	-2.7001415646	0.0015188460	0.0323027025
1936	0.2777588027	-3.3628699389	-2.9692392884	0.0020279423	0.0289105158
1937	-0.4205124998	-2.5910516678	-2.4718631505	0.0010094903	0.0311856456
1938	0.2749792451	-2.9778483991	-2.7862760825	-0.0007002451	0.0318663714
1939	-0.0123881304	-3.1095172929	-2.8259918293	-0.0002700365	0.0296663464
1940	-0.1064448983	-2.7820193050	-2.6472482231	-0.0009004052	0.0282203935
1941	-0.1129320891	-2.5260393874	-2.3775573648	0.0030353885	0.0255872247
1942	0.1766256077	-2.7256035687	-2.4249204399	0.0036433549	0.0241687249
1943	0.2235727124	-2.9720224415	-2.5347127540	0.0036433549	0.0236371060
1944	0.1717969276	-3.0443342024	-2.6185241046	0.0036234275	0.0237261859
1945	0.3009572651	-3.2772887526	-2.8667474914	0.0036234275	0.0223510428
1946	-0.0858757448	-3.0990668253	-2.7515276889	0.0036732454	0.0226002217
1947	0.0438732610	-2.9796747788	-2.7235132386	0.0094947816	0.0194173234
1948	0.0407984838	-2.8549254998	-2.5901465706	0.0114047183	0.0164196994
1949	0.1467416022	-2.7749782096	-2.5637716503	0.0108014537	0.0149285821
1950	0.2465003863	-2.7594466494	-2.6470509773	0.0135675432	0.0129006220
1951	0.1981322819	-2.7612938939	-2.7040615320	0.0177318573	0.0128086007
1952	0.1452626217	-2.9206626363	-2.7323960174	0.0201261044	0.0099159525
1953	-0.0348072188	-2.8572361963	-2.5830660528	0.0138733189	0.0179631488
1954	0.4009033528	-3.1894279102	-2.8669045929	0.0099998346	0.0189936252
1955	0.2527576570	-3.3488019784	-2.9924087643	0.0248096789	0.0068484090
1956	0.0359438152	-3.2680029492	-2.9097680412	0.0324091052	0.0068571918
1957	-0.1485199599	-3.1275860829	-2.6814016960	0.0273914066	0.0108475640
1958	0.3333063631	-3.4543895406	-2.9688376438	0.0267490333	0.0154238729
1959	0.0757398199	-3.5047228814	-3.0169100319	0.0434425578	0.0049558438
1960	-0.0349185305	-3.3957912673	-2.9638088142	0.0221234615	0.0219938139
1961	0.2102572746	-3.5949042607	-3.1564851800	0.0265542932	0.0183925895
1962	-0.1222725770	-3.4135555218	-2.9942278590	0.0292383626	0.0124136463
1963	0.1700194235	-3.5247622291	-3.1244385205	0.0352223457	0.0083432855
1964	0.1130139558	-3.5590421920	-3.1949749495	0.0374402830	0.0097466940
1965	0.0749650751	-3.5575684193	-3.2363240368	0.0446195746	0.0039627515
1966	-0.1562688725	-3.3414592035	-3.0443886237	0.0477991971	0.0087678061
1967	0.1664610881	-3.5010789980	-3.1780745624	0.0499513944	0.0175463931
1968	0.0483692605	-3.5411037597	-3.1880983309	0.0617345938	0.0033027708
1969	-0.1545618391	-3.3798113643	-3.0107808489	0.0785708558	0.0086990717
1970	-0.0405464286	-3.3696860962	-2.9662208835	0.0479517175	0.0301891569
1971	0.0840522564	-3.4968749519	-3.0207763535	0.0366019024	0.0370315959
1972	0.1298591161	-3.6421284382	-3.1155981630	0.0503508504	0.0208833381
1973	-0.2269647075	-3.3986378717	-2.8585810948	0.0732225803	0.0029389355
1974	-0.3841030223	-2.9657034387	-2.4303405663	0.0693674680	0.0218458557
1975	0.2479413169	-3.1956148208	-2.6542908569	0.0515197687	0.0338223133
1976	0.1550826417	-3.3322975724	-2.7701721396	0.0430978029	0.0350870201
1977	-0.1293827607	-3.0665293855	-2.5739619840	0.0605587373	0.0227732984
1978	-0.0102431970	-2.9661057923	-2.5062226472	0.0905534298	0.0067283376
1979	0.0643471877	-2.9905576178	-2.5209861095	0.1155850663	0.0126862355
1980	0.1543024263	-3.1203799336	-2.6462650342	0.1373939234	0.0060424215
1981	-0.2034190020	-2.9436640857	-2.4484909214	0.1075261689	0.0410481720
1982	0.0610139862	-3.0274442739	-2.5159069769	0.0777015077	0.0342932326
1983	0.1115801102	-3.1617561488	-2.6269889320	0.0878002324	0.0355079728
1984	-0.0484794384	-3.1247295933	-2.5807652938	0.0772480370	0.0412568523
1985	0.1881138609	-3.3009854627	-2.7575191975	0.0695540473	0.0393913886
1986	0.1042672913	-3.3907022094	-2.8552183577	0.0562007332	0.0316220409
1987	-0.0100667451	-3.3599869245	-2.8386890906	0.0562858110	0.0601031204
1988	0.0836325058	-3.3920395295	-2.8875653151	0.0796056891	0.0273769185
1989	0.1838023767	-3.5162253027	-3.0659234130	0.0743929315	0.0241360892
1990	-0.1139355026	-3.3373963303	-2.9589131925	0.0636318602	0.0335980356
1991	0.2004467517	-3.5328911895	-3.1725307377	0.0384800543	0.0433314496
1992	0.0332123914	-3.5631184127	-3.1946933034	0.0307716587	0.0479551730
1993	0.0627075925	-3.6174241864	-3.2229036491	0.0300732330	0.0379892637
1994	-0.0296658359	-3.5712488459	-3.1534711544	0.0548290363	0.0349480910
1995	0.2560062589	-3.8219262152	-3.3564999974	0.0492662413	0.0211737222
1996	0.1511488192	-3.9347086625	-3.4465089123	0.0501321205	0.0219366191
1997	0.2322079310	-4.1523404328	-3.6175583696	0.0517381954	0.0155949316
1998	0.1976578876	-4.3423360692	-3.7911506687	0.0433659559	0.0173402125
1999	0.1415170980	-4.4856681741	-3.9043192184	0.0518996105	0.0230245485
2000	-0.1540503308	-4.3811786894	-3.7004819352	0.0567961260	0.0135320570
2001	-0.1699894981	-4.2867861389	-3.5148860370	0.0169751042	0.0492791851
2002	-0.2660788778	-4.0126123772	-3.2208326836	0.0118593985	0.0489521206
